NFDName,NFDCode,model.name,term,estimate,std.error,statistic,p.value
Xeric,3,da.sq.mi + slope.pct.8 + precip.in.8,slope.pct.8,-0.46765966039147683,0.1702678706023784,-2.7466113174316296,0.007142345096603952
Xeric,3,da.sq.mi + slope.pct.8 + precip.in.8,precip.in.8,2.4897548403272323,0.15492204402700166,16.07101723944004,1.8167901416640886e-29
Xeric,3,da.sq.mi + elev.ft.8 + slope.pct.8 + precip.in.8,(Intercept),-1.1081063857268705,0.42630382273592493,-2.5993348561016543,0.010767941473153882
Xeric,3,da.sq.mi + elev.ft.8 + slope.pct.8 + precip.in.8,da.sq.mi,0.7594481962970285,0.04820498388084301,15.754557623632738,9.97892435860838e-29
Xeric,3,da.sq.mi + elev.ft.8 + slope.pct.8 + precip.in.8,elev.ft.8,-0.11057172391697608,0.10594964279918764,-1.0436252638109307,0.2992004966841287
Xeric,3,da.sq.mi + elev.ft.8 + slope.pct.8 + precip.in.8,slope.pct.8,-0.36269870714932584,0.19768746857159383,-1.8347076310402148,0.06955203459481474
Xeric,3,da.sq.mi + elev.ft.8 + slope.pct.8 + precip.in.8,precip.in.8,2.3845100327382425,0.18479517291075243,12.903529865955162,6.230026453319448e-23
Xeric,3,da.sq.mi + relief.ft.8 + slope.pct.8 + precip.in.8,(Intercept),-0.10334061715715956,0.7976030298248382,-0.12956397266927913,0.8971742851582841
Xeric,3,da.sq.mi + relief.ft.8 + slope.pct.8 + precip.in.8,da.sq.mi,0.7636299326943579,0.047771576072160774,15.985026986358289,3.541133474583288e-29
Xeric,3,da.sq.mi + relief.ft.8 + slope.pct.8 + precip.in.8,relief.ft.8,-0.36362948907083514,0.20167342389319473,-1.80306101840871,0.07442080285319949
Xeric,3,da.sq.mi + relief.ft.8 + slope.pct.8 + precip.in.8,slope.pct.8,-0.34373429086533913,0.18187029293068002,-1.8899969056318267,0.06168360711099477
Xeric,3,da.sq.mi + relief.ft.8 + slope.pct.8 + precip.in.8,precip.in.8,2.373494059393363,0.1662230297277426,14.278972434090022,8.857511142135382e-26
Interior Mountains,2,da.sq.mi + precip.in,(Intercept),-2.601623558167709,0.3593976296556317,-7.238844509521495,2.942264339900093e-11
Interior Mountains,2,da.sq.mi + precip.in,da.sq.mi,0.9060706629075764,0.036169216317977176,25.05087903873749,5.335518146894445e-53
Interior Mountains,2,da.sq.mi + precip.in,precip.in,2.205964879827237,0.20547761593481673,10.735791681206926,6.891404415698421e-20
Interior Mountains,2,da.sq.mi + elev.ft + precip.in,(Intercept),0.030831246645502876,0.7685450237329293,0.04011638315703516,0.9680591717373562
Interior Mountains,2,da.sq.mi + elev.ft + precip.in,da.sq.mi,0.9053302485122994,0.03449285875089751,26.24688939384424,4.3477186278487764e-055
Interior Mountains,2,da.sq.mi + elev.ft + precip.in,elev.ft,-0.7277103429735243,0.19015918850858213,-3.8268481722127343,1.9714863061631705e-4
Interior Mountains,2,da.sq.mi + elev.ft + precip.in,precip.in,2.2837601102778002,0.19700280772439427,11.592525693708724,4.883220733855813e-22
Interior Mountains,2,da.sq.mi + relief.ft + precip.in,(Intercept),-1.4163883319033548,0.594537055159638,-2.382338190044426,0.018586902477786223
