site_no,q.cfs,da.sq.mi,record.start,record.end,record.length,record.gap
11276600,3800,483.9997993269207,1971,2019,48,2
11278000,1200.2,78.39996749427809,1950,2019,69,1
11278300,1480,225.99990629728117,1957,2019,62,2
11278400,2220,233.99990298037076,1964,2019,55,1
11281000,708,86.99996392859939,1950,2002,52,2
11282000,486.1,73.4999695258857,1950,2002,52,2
11283500,1650,143.9999402956128,1960,1994,34,4
11284400,276.009,16.39999320033368,1970,2019,49,1
11284700,277,23.09999042242122,1963,1986,23,1
11290000,3960,1883.9992188676006,1950,2019,69,1
11292000,864,47.499980305844495,1950,2019,69,1
11292500,771,67.4999720135685,1951,1994,43,1
11292700,2660,286.99988100583937,1957,2019,62,2
11293500,636,27.799988473736356,1953,1987,34,1
11294500,2920,165.99993117410918,1950,2019,69,1
11295400,4120,628.9997392079198,1968,1994,26,1
11296500,863,44.79998142530175,1950,2019,69,1
11297200,50,48.099980057076216,1976,2015,39,18
11298000,968.09,66.89997226233679,1950,2019,69,1
11299600,276.01,14.39999402956128,1984,2019,35,1
11303000,2770,1074.999554290165,1950,2019,69,1
11306000,2020.1,117.99995107557159,1951,1979,28,1
11308000,1050,85.19996467490424,1951,1979,28,1
11309000,296.01,21.09999125164882,1950,1969,19,1
11315000,638,20.9999912931102,1950,2019,69,1
11316000,643,47.9999800985376,1952,1987,35,1
11316600,3470,332.99986193360456,1970,2001,31,1
11316800,168,20.79999137603296,1961,2019,58,1
11317000,630.1,68.39997164041607,1950,2019,69,1
11318500,726.1,75.0999688625036,1950,2019,69,1
11319500,4060,543.9997744500928,1950,2019,69,1
11325500,1600,660.9997259402782,1950,2019,69,3
11327000,460,48.099980057076216,1961,1980,19,1
11329500,3100,323.99986566512877,1950,1996,46,9
11333000,427.1,62.59997404517611,1955,2004,49,1
11333500,2150.2,204.99991500417102,1950,1987,37,1
11334300,885,64.29997334033266,1958,1980,22,1
11335000,5710,535.9997777670031,1950,2019,69,1
11336000,7040.5,723.9996998196087,1950,1982,32,1
11339500,285.1,211.9999121018744,1950,1981,31,2
11340500,116,32.899986359205975,1950,1981,31,1
11341400,1420,134.999944027137,1960,1987,27,1
11342000,13100,424.999823789135,1950,2019,69,1
11345500,334,246.99989759039138,1950,2019,69,1
11348500,2190.2,1430.999406687652,1950,2019,69,1
11350500,920,257.9998930296396,1958,1982,24,1
11352000,5200,2474.9989738308445,1952,1975,23,1
11355500,280,161.99993283256438,1950,2019,69,23
11360500,577,94.5999607775345,1959,1980,21,2
11363000,4630,4710.998046754388,1950,2019,69,1
11365000,14900,4951.997946832462,1950,2019,69,2
11367500,2130,357.9998515682596,1950,2019,69,1
11367800,1520,426.9998229599073,1965,2019,54,1
11368000,9840,603.9997495732648,1950,2019,69,2
11370500,31400,6467.997318277941,1950,2019,69,1
11371000,2410,114.99995231941298,1951,1993,42,1
11372000,1790,227.99990546805358,1950,2019,69,1
11374000,11100,424.999823789135,1950,2019,69,1
11375700,2370,88.69996322375594,1957,1980,23,1
11376000,14200,926.9996156530074,1950,2019,69,1
11377100,62300,8899.99630993718,1950,2019,69,1
11378800,1700,93.4999612336097,1960,1982,22,1
11379000,2650,122.99994900250258,1950,1982,32,1
11379500,2210,92.39996168968489,1950,2019,69,1
11380500,2540,135.9999436125232,1950,1969,19,1
11381500,3010,130.9999456855922,1950,2019,69,1
11382000,4510,202.99991583339857,1950,1996,46,1
11383500,3950,207.9999137603296,1950,2019,69,1
11384000,2670,72.39996998196088,1950,1986,36,1
11388500,7630.4,772.9996795035325,1950,1973,23,1
11390000,4160,146.9999390517714,1950,2019,69,1
11392500,2830,685.9997155749331,1950,1979,29,1
11394500,13500,1061.9995596801443,1952,1986,34,1
11396000,629.05,29.999987561585996,1950,2019,69,1
11396400,461,18.69999224672194,1966,1987,21,1
11399500,55.3,492.9997955953965,1950,2019,69,1
11400500,551,69.29997126726366,1950,2019,69,6
11401200,2540,525.9997819131411,1958,1980,22,3
11401500,4700,738.9996936004018,1950,1993,43,1
11402000,3960,183.99992371106077,1950,2019,69,1
11403000,12100,1024.999575020855,1951,1982,31,8
11404330,11800,1913.9992064291866,1987,2019,32,1
11404500,15100,1952.9991902592483,1950,2019,69,1
11405300,4420,109.999954392482,1958,1986,28,1
11407000,10200,3623.9984974395884,1950,2019,69,1
11407150,17100,3675.9984758796704,1965,1998,33,1
11407300,1560,47.09998047169002,1961,1981,20,2
11407500,1180,30.59998731281772,1951,1986,35,1
11408500,320,39.79998349837076,1950,1995,45,25
11408850,3090,135.9999436125232,1968,1989,21,1
11409000,3450,161.99993283256438,1950,1969,19,1
11409300,1140,22.999990463882597,1968,2000,32,1
11409500,1050,34.39998573728527,1950,1969,19,1
11413000,5540,249.99989634654995,1950,2019,69,1
11413320,41,3.159998689820392,1995,2019,24,2
11413323,29,2.0699991417494337,1995,2019,24,3
11414000,1690,51.79997852300515,1950,1994,44,1
11414250,2000,119.99995024634399,1967,2019,52,1
11417000,3410,197.99991790646757,1950,1972,22,4
11417500,4840,307.9998722989496,1960,2019,59,1
11418500,2630,84.5999649236725,1950,2019,69,1
11421000,21400,1338.9994448321218,1950,2019,69,1
11421770,29,12.29999490025026,1967,2016,49,3
11421790,701,21.4999910858033,1967,2019,52,2
11424000,6780.4,291.99987893277034,1950,2019,69,1
11425000,72400,5920.99754507169,1950,1983,33,1
11426150,65,3.5799985156825955,1960,1979,19,1
11426200,37.005,1.6799993034488157,1957,1985,28,1
11426400,336.02,9.099996227014419,1957,1985,28,1
11427500,101,47.89998013999897,1952,2019,67,1
11427700,422,9.939995878738827,1962,2019,57,1
11427760,929,87.79996359690836,1966,2019,53,1
11428000,670.1,31.399986981126673,1957,1986,29,1
11430000,544,47.59998026438312,1962,2018,56,2
11431800,217,11.699995149018537,1961,2008,47,1
11433040,223,21.09999125164882,1962,2008,46,1
11433100,218,17.9999925369516,1961,1992,31,1
11433200,3140,314.99986939665297,1959,1984,25,1
11433260,2860,88.89996314083318,1966,1985,19,1
11433300,7700,523.9997827423688,1959,2019,60,1
11433500,10400,613.9997454271268,1950,1985,35,2
11435100,238,8.759996367983112,1971,2019,48,1
11439500,2490,192.99991997953657,1950,2019,69,1
11440000,338,21.999990878496398,1950,1981,31,1
11442500,2530,448.9998138384038,1970,1993,23,1
11443500,2460,492.9997955953965,1950,2019,69,1
11444500,5420,597.9997520609476,1965,2019,54,1
11445500,6710,672.9997209649125,1952,1995,43,1
11448500,472,6.359997363056231,1955,1978,23,1
11449100,2130.1,55.19997711331824,1961,1980,19,1
11449500,2060,36.59998482513492,1950,2019,69,1
11451000,2680.36,527.9997810839136,1950,2019,69,1
11451100,1840.1,60.19997504024924,1972,2019,47,1
11451300,578,120.99994983173018,1986,2019,33,5
11451500,4590.2,196.9999183210814,1950,1981,31,1
11451715,1400,94.89996065315037,1998,2019,21,1
11451720,1870.05,99.99995853861999,1959,1980,21,1
11452000,11601,1043.9995671431927,1950,1975,25,1
11452500,9380,1138.9995277548817,1950,2019,69,1
11456000,3230.1,78.79996732843256,1950,2019,69,7
11458000,5960.2,217.99990961419158,1960,2019,59,1
11458500,2790.1,58.39997578655408,1956,2019,63,21
11459500,259,17.59999270279712,1950,2019,69,1
11460000,929,18.09999249549022,1952,2019,67,20
11460400,861,34.29998577874665,1984,2019,35,1
11460600,2170,81.69996612605253,1975,2019,44,1
11460750,763,31.09998710551082,1984,2019,35,1
11460800,2040.05,40.09998337398662,1960,1984,24,1
11461000,4010,99.99995853861999,1953,2019,66,1
11461500,3350,92.19996177260764,1950,2019,69,1
11462000,2890,104.99995646555098,1952,2011,59,3
11462500,9100,361.99984990980437,1950,2019,69,1
11463000,13800,502.99979144925857,1952,2019,67,1
11463170,1190,13.099994568559218,1981,2019,38,1
11463200,367,85.49996455052009,1958,2018,60,18
11463900,1810.1,43.69998188137694,1962,2018,56,33
11464000,25000,792.9996712112566,1950,2019,69,1
11464500,5330,87.79996359690836,1950,1980,30,1
11465200,3810,161.99993283256438,1960,2019,59,1
11465350,200,216.9999100288054,1985,2019,34,17
11465680,1130,40.799983083756956,1999,2019,20,1
11465700,275,6.779997188918435,1999,2019,20,1
11465750,2160,79.59996699674151,1999,2019,20,1
11466320,2780,77.5999678259691,2000,2019,19,1
11467000,40400,1337.9994452467356,1950,2019,69,1
11467200,4990,62.79997396225335,1960,2019,59,38
11467600,8970,98.4999591605407,1963,1983,20,1
11468000,11400,302.99987437201855,1951,2019,68,1
11468500,3510,105.9999560509372,1952,2019,67,1
11471500,9410.5,348.99985529978375,1950,2019,69,1
11472150,11001,527.9997810839136,1967,1994,27,1
11472200,7870,160.9999332471782,1957,1994,37,1
11472900,5660,161.99993283256438,1959,2005,46,27
11473900,19400,744.9996911127189,1966,2019,53,1
11474500,14000,247.9998971757776,1954,2005,51,26
11475000,69500,2106.9991264087234,1956,2019,63,1
11475500,4150,43.89998179845418,1950,1970,20,1
11475560,357,6.4999973050103,1968,2019,51,1
11475800,12600,247.9998971757776,1966,2019,53,6
11476500,32800,536.9997773523894,1950,2019,69,1
11476600,1770,28.099988349352223,1961,2018,57,1
11477000,117000,3112.9987093072405,1950,2019,69,1
11478500,14500,221.99990795573638,1951,2019,68,1
11480390,3960,93.79996110922555,1981,2019,38,1
11480500,5380,142.9999407102266,1954,1994,40,1
11481000,18700,484.9997989123069,1951,2019,68,1
11481200,2310,40.499983208141096,1956,2019,63,1
11481500,2860,67.69997193064573,1954,2019,65,15
11482500,13100,276.99988515197737,1954,2019,65,1
11489500,171,18.59999228818332,1953,1979,26,1
11507500,3740,3809.9984203214217,1962,2019,57,1
11509500,4590,3919.998374713904,1950,2019,69,1
11516900,130,48.19998001561484,1958,1978,20,1
11517000,549,672.9997209649125,2002,2019,17,1
11517500,1050,792.9996712112566,1950,2019,69,1
11519500,4930,652.9997292571886,1950,2019,69,1
11520500,16000,6939.997122580227,1952,2019,67,1
11521500,4200,119.99995024634399,1958,2019,61,2
11522500,14900,750.9996886250361,1950,2019,69,1
11523000,55700,8474.996486148044,1950,2019,69,1
11523200,3550,148.9999382225438,1958,2019,61,1
11525500,4750,718.9997018926778,1950,2019,69,1
11525530,360,22.299990754112258,2004,2019,15,1
11525600,406,30.799987229894956,1976,2005,29,1
11525655,6240,809.9996641628219,1982,2019,37,12
11525854,7170,930.9996139945522,2003,2019,16,1
11526250,7520,1056.9995617532134,2003,2019,16,1
11526500,4620,150.9999373933162,1958,2005,47,25
11527000,12300,1438.9994033707417,1957,2019,62,1
11528500,7560,377.99984327598355,1954,1974,20,1
11528700,16600,763.9996832350568,1966,2019,53,1
11530000,42700,2852.9988171068285,1950,2019,69,1
