DWRName,DWRCode,model.name,r.squared,adj.r.squared,sigma,statistic,p.value,df,logLik,AIC,BIC,deviance,df.residual,all.coeff.sign
North Lahontan and Desert,6,da.sq.mi + slope.pct + precip.in,0.875412856543954,0.8669182785810418,0.3399385932264593,103.05548555396778,6.365228398631018e-20,4,-14.229242825704207,38.45848565140841,47.81449070594787,5.084562875250502,44,0
North Lahontan and Desert,6,da.sq.mi + elev.ft + slope.pct + precip.in,0.8798508438432773,0.8686741781542798,0.3376885471222727,78.72212235080274,3.2599804802506117e-19,5,-13.358727315679626,38.71745463135925,49.9446606968066,4.90344285887471,43,0
North Lahontan and Desert,6,da.sq.mi + relief.ft + slope.pct + precip.in,0.8762729412768533,0.864763447442142,0.3426796491008277,76.13479392413541,6.102806417440403e-19,5,-14.06298478683418,40.12596957366836,51.353175639115705,5.049461702038256,43,0
North Lahontan and Desert,6,da.sq.mi + precip.in.8,0.7316185007479654,0.7196904341145416,0.49335578759439314,61.33588310932883,1.402597077421558e-13,3,-32.64694013289825,73.2938802657965,80.77868430942807,10.952996991879777,45,0
North Lahontan and Desert,6,da.sq.mi + elev.ft.8 + precip.in.8,0.7319117650963154,0.7136330218074278,0.49865793735765684,40.041689602439746,1.2266416043032472e-12,4,-32.62070064681588,75.24140129363175,84.5974063481712,10.941028493550885,44,0
North Lahontan and Desert,6,da.sq.mi + relief.ft.8 + precip.in.8,0.7669073984953115,0.7510147211199919,0.46497339405986754,48.25539337294233,5.778291631791431e-14,4,-29.26357212492307,68.52714424984615,77.8831493043856,9.512811316076327,44,1
North Lahontan and Desert,6,da.sq.mi + slope.pct.8 + precip.in.8,0.7710793495779292,0.755471123412788,0.460793499960828,49.40211279741886,3.893630781268798e-14,4,-28.83012331306202,67.66024662612404,77.0162516806635,9.342548582670585,44,1
North Lahontan and Desert,6,da.sq.mi + elev.ft.8 + slope.pct.8 + precip.in.8,0.7748701892746376,0.7539278813001853,0.4622452660933809,37.000228925097844,2.1100520984900008e-13,5,-28.429364919394274,68.85872983878855,80.0859359042359,9.1878394991068415,43,0
North Lahontan and Desert,6,da.sq.mi + relief.ft.8 + slope.pct.8 + precip.in.8,0.7728044173950107,0.7516699445945466,0.4643611848094562,36.566060799871934,2.561458984281675e-13,5,-28.648582635408154,69.29716527081631,80.52437133626366,9.272146328178604,43,0
San Francisco Bay,2,da.sq.mi + precip.in,0.9357232121065538,0.9035848181598307,0.17832514859746557,29.115431644086968,0.004131505461899064,3,4.095112547999661,-0.19022509599932214,-0.4065844997780692,0.1271994344892327,4,0
