DWRName,DWRCode,model.name,term,estimate,std.error,statistic,p.value
Sacramento River,4,da.sq.mi + elev.ft.8 + precip.in.8,precip.in.8,3.051810218903918,0.6302393433603131,4.842303564598589,6.982158246915779e-6
Sacramento River,4,da.sq.mi + relief.ft.8 + precip.in.8,(Intercept),-6.567259190077125,2.6552216193642257,-2.4733374955155756,0.015712844448045524
Sacramento River,4,da.sq.mi + relief.ft.8 + precip.in.8,da.sq.mi,1.1745763256865318,0.11001965094494487,10.676059373014223,1.4573072967133525e-16
Sacramento River,4,da.sq.mi + relief.ft.8 + precip.in.8,relief.ft.8,0.14734030773095155,0.8803727550691148,0.1673612760987639,0.8675485523913355
Sacramento River,4,da.sq.mi + relief.ft.8 + precip.in.8,precip.in.8,2.6611679662717207,0.846001055074534,3.1455846896517965,0.0023984466011191937
Sacramento River,4,da.sq.mi + slope.pct.8 + precip.in.8,(Intercept),-6.310778082442221,0.9822225898947142,-6.42499790512727,1.1898208330662403e-8
Sacramento River,4,da.sq.mi + slope.pct.8 + precip.in.8,da.sq.mi,1.0869711923089354,0.10575699971323285,10.278007084697279,7.820641626754957e-16
Sacramento River,4,da.sq.mi + slope.pct.8 + precip.in.8,slope.pct.8,-1.8855484328725887,0.5728396612575903,-3.291581502462884,0.0015367953200086353
Sacramento River,4,da.sq.mi + slope.pct.8 + precip.in.8,precip.in.8,4.560231620761008,0.7721906429379404,5.905577414679326,1.0283718225577311e-7
North Coast,1,da.sq.mi,(Intercept),-1.958403832110496,0.3406615410802706,-5.748825728610893,4.785447044756343e-7
North Coast,1,da.sq.mi,da.sq.mi,1.2857461306593705,0.13699336290911215,9.385462940364453,8.865729428986093e-13
North Coast,1,da.sq.mi + elev.ft.8,(Intercept),-4.194455722865673,1.471861655011306,-2.8497622100451103,0.00629692328148128
North Coast,1,da.sq.mi + elev.ft.8,da.sq.mi,1.2042547738268656,0.14488125692830475,8.312012190940594,4.741003983492462e-11
North Coast,1,da.sq.mi + elev.ft.8,elev.ft.8,0.7297824430587077,0.4676843475322521,1.5604166504810832,0.12484599346318163
North Coast,1,da.sq.mi + relief.ft.8,(Intercept),-7.059328512495164,3.1422733436493417,-2.246567290768114,0.02902559510355698
North Coast,1,da.sq.mi + relief.ft.8,da.sq.mi,1.2179811851980176,0.14109393387160518,8.632413540233237,1.5128299303283714e-11
North Coast,1,da.sq.mi + relief.ft.8,relief.ft.8,1.3958365221025644,0.8549533904493549,1.6326463380289382,0.1087032099787157
North Coast,1,da.sq.mi + slope.pct.8,(Intercept),-2.697572807807245,1.1606717496655523,-2.32414789847737,0.02413842676206077
North Coast,1,da.sq.mi + slope.pct.8,da.sq.mi,1.2905998691832998,0.13792371049970412,9.35734591614013,1.181187819779007e-12
North Coast,1,da.sq.mi + slope.pct.8,slope.pct.8,0.4732700869668427,0.7100554620715296,0.666525521240433,0.5080794258685365
North Coast,1,da.sq.mi + precip.in.8,(Intercept),-3.030889631333654,1.2963563793013457,-2.3380064924485597,0.023347160497152523
North Coast,1,da.sq.mi + precip.in.8,da.sq.mi,1.30274983578587,0.13876686285325376,9.388047038027592,1.0615090209437066e-12
North Coast,1,da.sq.mi + precip.in.8,precip.in.8,0.599621649818497,0.6991811670729814,0.8576055506882778,0.3951226610070947
North Coast,1,da.sq.mi + elev.ft.8 + precip.in.8,(Intercept),-5.903556052086083,2.087579740492216,-2.827942778700336,0.0067221727602815185
North Coast,1,da.sq.mi + elev.ft.8 + precip.in.8,da.sq.mi,1.2168417342889017,0.14483598079376905,8.401515477162778,4.006040189581392e-11
North Coast,1,da.sq.mi + elev.ft.8 + precip.in.8,elev.ft.8,0.8203318199766739,0.4727957021813125,1.7350661526573792,0.08888984211683523
North Coast,1,da.sq.mi + elev.ft.8 + precip.in.8,precip.in.8,0.8004326664522902,0.6954920621359092,1.150886846924033,0.25525303159585777
North Coast,1,da.sq.mi + relief.ft.8 + precip.in.8,(Intercept),-7.722421464866993,3.291610237782858,-2.346092309540455,0.022977052934640516
North Coast,1,da.sq.mi + relief.ft.8 + precip.in.8,da.sq.mi,1.2349337274833978,0.1437582226827665,8.590351942570583,2.0600503179374728e-11
North Coast,1,da.sq.mi + relief.ft.8 + precip.in.8,relief.ft.8,1.3353634987993677,0.8632789809092074,1.546850471666714,0.12820599028889418
North Coast,1,da.sq.mi + relief.ft.8 + precip.in.8,precip.in.8,0.4942874956291605,0.6931783561537761,0.7130740468756165,0.4791149096126275
North Coast,1,da.sq.mi + slope.pct.8 + precip.in.8,(Intercept),-3.058196386692996,1.346750152800401,-2.2707971336285753,0.027499553656835006
North Coast,1,da.sq.mi + slope.pct.8 + precip.in.8,da.sq.mi,1.3019144070206181,0.14047023092810693,9.268258466001537,1.944792860817618e-12
North Coast,1,da.sq.mi + slope.pct.8 + precip.in.8,slope.pct.8,0.08743528700992301,1.0117466874546293,0.08642013667461991,0.9314775958837949
North Coast,1,da.sq.mi + slope.pct.8 + precip.in.8,precip.in.8,0.5385390544715649,0.9990680391044224,0.5390414199960979,0.5922504866400304
