NFDName,NFDCode,model.name,term,estimate,std.error,statistic,p.value
Interior Mountains,2,da.sq.mi + precip.in.8,precip.in.8,0.7706325529579291,0.43075975543494394,1.7890077780822653,0.0761363316596371
Interior Mountains,2,da.sq.mi + elev.ft.8 + precip.in.8,(Intercept),-3.8845549468133944,3.3727511874542553,-1.1517466693846004,0.2517338902333788
Interior Mountains,2,da.sq.mi + elev.ft.8 + precip.in.8,da.sq.mi,1.0108838901760948,0.07328336257300891,13.794179943216944,1.930531656391718e-26
Interior Mountains,2,da.sq.mi + elev.ft.8 + precip.in.8,elev.ft.8,0.34607926730301203,0.7777845909514916,0.4449551602451277,0.6571604467468879
Interior Mountains,2,da.sq.mi + elev.ft.8 + precip.in.8,precip.in.8,0.8719053922198862,0.4884723963733808,1.7849634875855198,0.07681495962676424
Interior Mountains,2,da.sq.mi + relief.ft.8 + precip.in.8,(Intercept),0.6773548444397927,1.604205788768789,0.42223687832447937,0.6736140159561536
Interior Mountains,2,da.sq.mi + relief.ft.8 + precip.in.8,da.sq.mi,1.0500062809438384,0.07325633423011492,14.333317275275176,1.1031961554736759e-27
Interior Mountains,2,da.sq.mi + relief.ft.8 + precip.in.8,relief.ft.8,-1.035683635207808,0.48454208001865706,-2.137448279348472,0.03460767532172063
Interior Mountains,2,da.sq.mi + relief.ft.8 + precip.in.8,precip.in.8,1.3364585091114536,0.5002719009131698,2.671464271073297,0.008609994247633514
Interior Mountains,2,da.sq.mi + slope.pct.8 + precip.in.8,(Intercept),-2.3102769200462863,0.7498990200054709,-3.0807840234668284,0.0025649427473428683
Interior Mountains,2,da.sq.mi + slope.pct.8 + precip.in.8,da.sq.mi,1.0049459607093831,0.07131107983090008,14.092423829402259,3.9493725769662096e-27
Interior Mountains,2,da.sq.mi + slope.pct.8 + precip.in.8,slope.pct.8,-0.2412544661411543,0.5852084677285677,-0.4122538880504602,0.6808950498665071
