site_no,q.cfs,da.sq.mi,record.start,record.end,record.length,record.gap
11257100,0.72316,10.599995605093719,1962,1980,18,1
11257500,0.5739,132.9999448563646,1950,1990,40,1
11258900,0.0183,33.59998606897632,1959,1980,21,1
11260480,0.0302,65.69997275987333,1960,1980,20,1
11261500,51.5,7614.996842715913,1950,2020,70,17
11264500,6.8,180.99992495490218,1950,2020,70,1
11266500,18.57,320.99986690897015,1950,2020,70,1
11268000,10.43,240.9999000780742,1952,1975,23,1
11269300,0.00842,16.9999929515654,1961,1980,19,3
11271320,0.0184,67.59997197210711,1968,1992,24,1
11272500,114.947,1272.9994721966325,1950,2010,60,8
11275000,0.144,45.99998092776519,1950,1983,33,2
11276500,41.426,456.9998105214934,1950,2020,70,1
11276600,41.1,483.9997993269207,1972,2020,48,3
11278000,4.917,78.39996749427809,1950,2020,70,1
11278300,11.371,225.99990629728117,1958,2020,62,3
11278400,75.86,233.99990298037076,1964,2020,56,1
11281000,6.571,86.99996392859939,1950,2002,52,3
11282000,1.6499,73.4999695258857,1950,2002,52,3
11283500,7.76,143.9999402956128,1961,1995,34,5
11284400,0.0091,16.39999320033368,1970,2020,50,1
11284700,0.703,23.09999042242122,1964,1986,22,1
11290000,216.9,1883.9992188676006,1950,2020,70,1
11292000,16.71,47.499980305844495,1950,2019,69,1
11292500,22.71,67.4999720135685,1952,1994,42,1
11292700,23,286.99988100583937,1957,2019,62,3
11293500,3.81,27.799988473736356,1954,1987,33,1
11294500,33,165.99993117410918,1950,2019,69,1
11295400,39,628.9997392079198,1969,1994,25,1
11296500,13,44.79998142530175,1950,2019,69,1
11297200,4.91,48.099980057076216,1977,2016,39,23
11298000,1.988,66.89997226233679,1950,2019,69,1
11299600,0.00893,14.39999402956128,1985,2020,35,1
11303000,181.714,1074.999554290165,1950,2020,70,1
11306000,0.0791,117.99995107557159,1951,1979,28,1
11308000,0.0455,85.19996467490424,1951,1979,28,1
11309000,0.00762,21.09999125164882,1950,1969,19,1
11315000,0.1647,20.9999912931102,1950,2019,69,1
11316000,2.6,47.9999800985376,1953,1987,34,1
11316600,34.29,332.99986193360456,1971,2001,30,1
11316800,2.0143,20.79999137603296,1962,2019,57,1
11317000,5.2797,68.39997164041607,1950,2019,69,1
11318500,6.0689,75.0999688625036,1950,2019,69,1
11319500,262.86,543.9997744500928,1950,2019,69,1
11325500,31.857,660.9997259402782,1950,2019,69,4
11327000,0.0302,48.099980057076216,1962,1980,18,1
11329500,0.133,323.99986566512877,1950,1987,37,1
11333000,3.1292,62.59997404517611,1956,2004,48,1
11333500,7.323,204.99991500417102,1950,1987,37,1
11334300,0.0449,64.29997334033266,1959,1980,21,1
11335000,9.919,535.9997777670031,1950,2020,70,1
11336000,0.543,723.9996998196087,1950,1982,32,1
11339500,0.7413,211.9999121018744,1950,1981,31,3
11340500,0.2218,32.899986359205975,1950,1981,31,1
11341400,44.1,134.999944027137,1961,1987,26,1
11342000,194,424.999823789135,1950,2020,70,1
11345500,5.61,246.99989759039138,1950,2020,70,1
11348500,9.279,1430.999406687652,1950,2020,70,1
11350500,11.76,257.9998930296396,1959,1982,23,1
11352000,1.179,2474.9989738308445,1953,1975,22,1
11355500,121.4,161.99993283256438,1950,2020,70,23
11360500,8.84,94.5999607775345,1959,1980,21,3
11363000,96.1,4710.998046754388,1950,2019,69,1
11365000,2030,4951.997946832462,1950,2019,69,3
11367500,753,357.9998515682596,1950,2019,69,1
11367800,168.6,426.9998229599073,1966,2019,53,1
11368000,282,603.9997495732648,1950,2019,69,3
11370500,3424,6467.997318277941,1950,2020,70,1
11371000,10.43,114.99995231941298,1952,1993,41,1
11372000,50.43,227.99990546805358,1950,2020,70,1
11374000,19.714,424.999823789135,1951,2020,69,1
11375700,4.657,88.69996322375594,1958,1980,22,1
11376000,52.1,926.9996156530074,1950,2020,70,1
11377100,5007,8899.99630993718,1950,2020,70,1
11378800,0.0486,93.4999612336097,1961,1982,21,1
11379000,34.9,122.99994900250258,1950,1982,32,1
11379500,1.357,92.39996168968489,1950,2020,70,1
11380500,0.112,135.9999436125232,1951,1969,18,1
11381500,98.7,130.9999456855922,1950,2020,70,1
11382000,2.393,202.99991583339857,1950,1996,46,1
11383500,87.4,207.9999137603296,1950,2020,70,1
11384000,21.1,72.39996998196088,1950,1986,36,1
11388500,0.437,772.9996795035325,1950,1973,23,1
11390000,92.5,146.9999390517714,1950,2020,70,1
11392500,16,685.9997155749331,1950,1979,29,1
11394500,154.7,1061.9995596801443,1953,1986,33,1
11396000,1.6053,29.999987561585996,1950,2019,69,1
11396400,3.343,18.69999224672194,1967,1987,20,1
11399500,33.324,492.9997955953965,1950,2019,69,1
11400500,45.9,69.29997126726366,1950,2019,69,7
11401200,30.6,525.9997819131411,1959,1980,21,4
11401500,15.143,738.9996936004018,1950,1993,43,1
11402000,21.23,183.99992371106077,1950,2020,70,1
11403000,69.4,1024.999575020855,1952,1982,30,8
11404330,132.1,1913.9992064291866,1988,2019,31,1
11404500,56.1,1952.9991902592483,1950,2019,69,1
11405300,0.837,109.999954392482,1959,1986,27,1
11407000,619,3623.9984974395884,1950,2019,69,1
11407150,1084,3675.9984758796704,1966,1998,32,1
11407300,0.0484,47.09998047169002,1962,1981,19,3
11407500,0.0421,30.59998731281772,1952,1986,34,1
11408500,0.0428,39.79998349837076,1950,1995,45,26
11408850,30.4,135.9999436125232,1969,1989,20,1
11409000,32,161.99993283256438,1950,1969,19,1
11409300,1.743,22.999990463882597,1969,2000,31,1
11409500,4.4,34.39998573728527,1950,1969,19,1
11413000,130.3,249.99989634654995,1950,2020,70,1
11413320,2.41,3.159998689820392,1996,2019,23,3
11413323,0.914,2.0699991417494337,1996,2019,23,4
11414000,5.871,51.79997852300515,1950,1994,44,1
11414250,5.44,119.99995024634399,1967,2019,52,1
11417000,16.1,197.99991790646757,1950,1972,22,5
11417500,37.57,307.9998722989496,1960,2019,59,1
11418500,2.549,84.5999649236725,1950,2020,70,1
11421000,333.6,1338.9994448321218,1950,2020,70,1
11421770,5.33,12.29999490025026,1967,2015,48,5
11421790,5.7,21.4999910858033,1967,2019,52,2
11424000,9.829,291.99987893277034,1950,2020,70,1
11425000,967,5920.99754507169,1950,1983,33,1
11426150,0.2,3.5799985156825955,1961,1979,18,1
11426200,0.29024,1.6799993034488157,1958,1985,27,1
11426400,0.3207,9.099996227014419,1958,1985,27,1
11427500,7.743,47.89998013999897,1953,2019,66,1
11427700,0.577,9.939995878738827,1963,2019,56,1
11427760,15.43,87.79996359690836,1967,2019,52,1
11428000,1.0559,31.399986981126673,1958,1986,28,1
11430000,5.21,47.59998026438312,1963,2018,55,3
11431800,3.486,11.699995149018537,1962,2008,46,1
11433040,1.543,21.09999125164882,1963,2008,45,1
11433100,0.767,17.9999925369516,1962,1992,30,1
11433200,37.4,314.99986939665297,1960,1984,24,1
11433260,23.29,88.89996314083318,1967,1985,18,1
11433300,107.6,523.9997827423688,1960,2019,59,1
11433500,88.9,613.9997454271268,1950,1985,35,3
11435100,2.1429,8.759996367983112,1972,2019,47,1
11439500,7.057,192.99991997953657,1950,2019,69,1
11440000,0.5,21.999990878496398,1950,1981,31,1
11442500,28.7,448.9998138384038,1971,1993,22,1
11443500,12.86,492.9997955953965,1950,2019,69,1
11444500,281.1,597.9997520609476,1966,2019,53,1
11445500,195.7,672.9997209649125,1953,1995,42,1
11448500,0.012,6.359997363056231,1956,1978,22,1
11449100,0.079,55.19997711331824,1962,1980,18,1
11449500,2.3,36.59998482513492,1950,2020,70,1
11451000,2.265,527.9997810839136,1950,2020,70,1
11451100,0.378,60.19997504024924,1973,2020,47,1
11451300,6.6,120.99994983173018,1985,2020,35,6
11451500,1.203,196.9999183210814,1950,1981,31,1
11451715,1.2588,94.89996065315037,1999,2020,21,1
11451720,0.7635,99.99995853861999,1960,1980,20,1
11452000,10.3,1043.9995671431927,1950,1975,25,1
11452500,0.515,1138.9995277548817,1950,2020,70,1
11456000,0.2205,78.79996732843256,1950,2020,70,7
11458000,0.227,217.99990961419158,1961,2020,59,1
